id	dir_name	name	genus	phylum	kingdom	tax2	num_L	num_M	num_S	num_M_fs	num_M_plus	num_M_minus
1162	Sphingomonas_echinoides_ATCC_14820	Sphingomonas echinoides ATCC 14820	Sphingomonas	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
1164	Frateuria_aurantia_DSM_6220	Frateuria aurantia DSM 6220	Frateuria	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
1260	Halomonas_smyrnensis_AAD6	Halomonas smyrnensis AAD6	Halomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
1272	Desulfomonile_tiedjei_DSM_6799	Desulfomonile tiedjei DSM 6799	Desulfomonile	Proteobacteria	Bacteria	Deltaproteobacteria	2	2	2	0	0	0
1316	Rubrivivax_gelatinosus_IL144	Rubrivivax gelatinosus IL144	Rubrivivax	Proteobacteria	Bacteria	Betaproteobacteria	3	2	1	1	0	1
1341	Phaeospirillum_molischianum_DSM_120	Phaeospirillum molischianum DSM 120	Phaeospirillum	Proteobacteria	Bacteria	Alphaproteobacteria	3	3	3	0	0	0
1375	Oceanibaculum_indicum_P24	Oceanibaculum indicum P24	Oceanibaculum	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	1	0
1385	Agrobacterium_albertimagni_AOL15	Agrobacterium albertimagni AOL15	Agrobacterium	Proteobacteria	Bacteria	Alphaproteobacteria	2	3	1	1	1	0
1408	Desulfobacula_toluolica_Tol2	Desulfobacula toluolica Tol2	Desulfobacula	Proteobacteria	Bacteria	Deltaproteobacteria	4	1	1	0	0	0
1470	Spirulina_subsalsa_PCC_9445	Spirulina subsalsa PCC 9445	Spirulina	Cyanobacteria	Bacteria	Spirulinales	3	1	1	0	0	0
1485	Caenispirillum_salinarum_AK4	Caenispirillum salinarum AK4	Caenispirillum	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
1491	Fischerella_thermalis_PCC_7521	Fischerella thermalis PCC 7521	Fischerella	Cyanobacteria	Bacteria	Nostocales	3	1	1	0	0	0
1492	Chlorogloeopsis_fritschii_PCC_6912	Chlorogloeopsis fritschii PCC 6912	Chlorogloeopsis	Cyanobacteria	Bacteria	Nostocales	3	1	1	0	0	0
1494	Calothrix_sp_PCC_6303	Calothrix sp. PCC 6303	Calothrix	Cyanobacteria	Bacteria	Nostocales	3	1	1	0	0	0
1497	Cylindrospermum_stagnale_PCC_7417	Cylindrospermum stagnale PCC 7417	Cylindrospermum	Cyanobacteria	Bacteria	Nostocales	3	1	1	0	0	0
1501	Anabaena_cylindrica_PCC_7122	Anabaena cylindrica PCC 7122	Anabaena	Cyanobacteria	Bacteria	Nostocales	3	1	1	0	0	0
1521	Thioflavicoccus_mobilis_8321	Thioflavicoccus mobilis 8321	Thioflavicoccus	Proteobacteria	Bacteria	Gammaproteobacteria	2	1	1	0	0	0
1544	Pseudanabaena_biceps_PCC_7429	Pseudanabaena biceps PCC 7429	Pseudanabaena	Cyanobacteria	Bacteria	Synechococcales	2	1	1	0	0	0
1546	Fortiea_contorta_PCC_7126	Fortiea contorta PCC 7126	Fortiea	Cyanobacteria	Bacteria	Nostocales	3	1	1	0	0	0
1619	Bradyrhizobium_oligotrophicum_S58	Bradyrhizobium oligotrophicum S58	Bradyrhizobium	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
1653	Marinobacter_nanhaiticus_D15_8W	Marinobacter nanhaiticus D15-8W	Marinobacter	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
1682	Methylocystis_rosea_SV97	Methylocystis rosea SV97	Methylocystis	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
1684	Methyloversatilis_thermotolerans	Methyloversatilis thermotolerans	Methyloversatilis	Proteobacteria	Bacteria	Betaproteobacteria	3	1	0	1	0	1
1741	Hahella_ganghwensis_DSM_17046	Hahella ganghwensis DSM 17046	Hahella	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
1756	Marinobacterium_rhizophilum_DSM_18822	Marinobacterium rhizophilum DSM 18822	Marinobacterium	Proteobacteria	Bacteria	Gammaproteobacteria	1	2	1	0	0	0
1768	Elioraea_tepidiphila_DSM_17972	Elioraea tepidiphila DSM 17972	Elioraea	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
1770	Halomonas_lutea_DSM_23508	Halomonas lutea DSM 23508	Halomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
1783	Lamprocystis_purpurea_DSM_4197	Lamprocystis purpurea DSM 4197	Lamprocystis	Proteobacteria	Bacteria	Gammaproteobacteria	1	2	0	1	0	1
1834	Variovorax_paradoxus_110B	Variovorax paradoxus 110B	Variovorax	Proteobacteria	Bacteria	Betaproteobacteria	2	2	1	1	0	1
1845	Hyphomicrobium_zavarzinii_ATCC_27496	Hyphomicrobium zavarzinii ATCC 27496	Hyphomicrobium	Proteobacteria	Bacteria	Alphaproteobacteria	2	3	1	1	1	0
1850	Duganella_zoogloeoides_ATCC_25935	Duganella zoogloeoides ATCC 25935	Duganella	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	0	0	0
1878	Pseudomonas_protegens_CHA0	Pseudomonas protegens CHA0	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
1907	Pseudomonas_resinovorans_NBRC_106553	Pseudomonas resinovorans NBRC 106553	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
1917	Leucothrix_mucor_DSM_2157	Leucothrix mucor DSM 2157	Leucothrix	Proteobacteria	Bacteria	Gammaproteobacteria	1	2	1	0	0	0
1924	Desulfospira_joergensenii_DSM_10085	Desulfospira joergensenii DSM 10085	Desulfospira	Proteobacteria	Bacteria	Deltaproteobacteria	2	1	0	1	0	1
1927	Psychromonas_hadalis_ATCC_BAA_638	Psychromonas hadalis ATCC BAA-638	Psychromonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
1944	Nevskia_ramosa_DSM_11499	Nevskia ramosa DSM 11499	Nevskia	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
1949	Sandarakinorhabdus_limnophila_DSM_17366	Sandarakinorhabdus limnophila DSM 17366	Sandarakinorhabdus	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
1973	Desulfatiglans_anilini_DSM_4660	Desulfatiglans anilini DSM 4660	Desulfatiglans	Proteobacteria	Bacteria	Deltaproteobacteria	0	1	0	1	0	1
1980	Oceanospirillum_beijerinckii_DSM_7166	Oceanospirillum beijerinckii DSM 7166	Oceanospirillum	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
2000	Oceanospirillum_maris_DSM_6286	Oceanospirillum maris DSM 6286	Oceanospirillum	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
2003	Paludibacterium_yongneupense_DSM_18731	Paludibacterium yongneupense DSM 18731	Paludibacterium	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	0	0	0
2006	Porphyrobacter_cryptus_DSM_12079	Porphyrobacter cryptus DSM 12079	Porphyrobacter	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
2038	Stappia_stellulata_DSM_5886	Stappia stellulata DSM 5886	Stappia	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	1	0
2042	Thalassobaculum_salexigens_DSM_19539	Thalassobaculum salexigens DSM 19539	Thalassobaculum	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	2	0	0	0
2068	Rubritepida_flocculans_DSM_14296	Rubritepida flocculans DSM 14296	Rubritepida	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
2148	Novosphingobium_acidiphilum_DSM_19966	Novosphingobium acidiphilum DSM 19966	Novosphingobium	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
2150	Salinarimonas_rosea_DSM_21201	Salinarimonas rosea DSM 21201	Salinarimonas	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
2181	Comamonas_composti_DSM_21721	Comamonas composti DSM 21721	Comamonas	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	1	0	1
2184	Desulfatibacillum_aliphaticivorans_DSM_15576	Desulfatibacillum aliphaticivorans DSM 15576	Desulfatibacillum	Proteobacteria	Bacteria	Deltaproteobacteria	3	2	1	0	0	0
2186	Desulfobulbus_japonicus_DSM_18378	Desulfobulbus japonicus DSM 18378	Desulfobulbus	Proteobacteria	Bacteria	Deltaproteobacteria	3	1	1	0	0	0
2224	Thauera_terpenica_58Eu	Thauera terpenica 58Eu	Thauera	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	1	0	1
2303	Psychromonas_arctica_DSM_14288	Psychromonas arctica DSM 14288	Psychromonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
2348	Rhodopseudomonas_palustris_JSC_3b	Rhodopseudomonas palustris JSC-3b	Rhodopseudomonas	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	2	0	0	0
2354	Marinomonas_profundimaris	Marinomonas profundimaris	Marinomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
2367	Sphingomonas_sanxanigenens_DSM_19645_NX02	Sphingomonas sanxanigenens DSM 19645 = NX02	Sphingomonas	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
2368	Syntrophorhabdus_aromaticivorans_UI	Syntrophorhabdus aromaticivorans UI	Syntrophorhabdus	Proteobacteria	Bacteria	Deltaproteobacteria	1	1	1	0	0	0
2382	Rhodovibrio_salinarum_DSM_9154	Rhodovibrio salinarum DSM 9154	Rhodovibrio	Proteobacteria	Bacteria	Alphaproteobacteria	2	3	1	1	0	1
2417	Roseivivax_atlanticus	Roseivivax atlanticus	Roseivivax	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
2423	Roseivivax_halodurans_JCM_10272	Roseivivax halodurans JCM 10272	Roseivivax	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
2424	Marinomonas_ushuaiensis_DSM_15871	Marinomonas ushuaiensis DSM 15871	Marinomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
2425	Roseivivax_isoporae_LMG_25204	Roseivivax isoporae LMG 25204	Roseivivax	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
2439	Deferrisoma_camini_S3R1	Deferrisoma camini S3R1	Deferrisoma	Proteobacteria	Bacteria	Deltaproteobacteria	1	1	0	1	0	1
2447	Carnimonas_nigrificans_ATCC_BAA_78	Carnimonas nigrificans ATCC BAA-78	Carnimonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
2454	Methyloversatilis_discipulorum	Methyloversatilis discipulorum	Methyloversatilis	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	1	0	1
2486	Imhoffiella_purpurea	Imhoffiella purpurea	Imhoffiella	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
2492	Sphingomonas_jaspsi_DSM_18422	Sphingomonas jaspsi DSM 18422	Sphingomonas	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
2497	Roseibacterium_elongatum_DSM_19469	Roseibacterium elongatum DSM 19469	Roseibacterium	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
2561	Zymobacter_palmae_DSM_10491	Zymobacter palmae DSM 10491	Zymobacter	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
2564	Marinobacterium_jannaschii_DSM_6295	Marinobacterium jannaschii DSM 6295	Marinobacterium	Proteobacteria	Bacteria	Gammaproteobacteria	1	2	1	0	0	0
2565	Microvirgula_aerodenitrificans_DSM_15089	Microvirgula aerodenitrificans DSM 15089	Microvirgula	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	0	0	0
2579	Desulfobulbus_elongatus_DSM_2908	Desulfobulbus elongatus DSM 2908	Desulfobulbus	Proteobacteria	Bacteria	Deltaproteobacteria	3	1	1	0	0	0
2599	Sulfitobacter_noctilucicola	Sulfitobacter noctilucicola	Sulfitobacter	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
2601	Sulfitobacter_guttiformis_KCTC_32187	Sulfitobacter guttiformis KCTC 32187	Sulfitobacter	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
2607	Ectothiorhodospira_haloalkaliphila_ATCC_51935	Ectothiorhodospira haloalkaliphila ATCC 51935	Ectothiorhodospira	Proteobacteria	Bacteria	Gammaproteobacteria	2	2	1	1	0	1
2617	Paraburkholderia_acidipaludis_NBRC_101816	Paraburkholderia acidipaludis NBRC 101816	Paraburkholderia	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	1	0	1
2648	Simplicispira_psychrophila_DSM_11588	Simplicispira psychrophila DSM 11588	Simplicispira	Proteobacteria	Bacteria	Betaproteobacteria	2	1	0	1	0	1
2653	Afifella_pfennigii_DSM_17143	Afifella pfennigii DSM 17143	Afifella	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	2	0	0	0
2666	Halomonas_campaniensis	Halomonas campaniensis	Halomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
2668	Caballeronia_zhejiangensis	Caballeronia zhejiangensis	Caballeronia	Proteobacteria	Bacteria	Betaproteobacteria	1	2	1	1	0	1
2669	Caballeronia_glathei	Caballeronia glathei	Caballeronia	Proteobacteria	Bacteria	Betaproteobacteria	1	2	1	1	0	1
2676	Brevundimonas_bacteroides_DSM_4726	Brevundimonas bacteroides DSM 4726	Brevundimonas	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	2	0	0	0
2680	Acidiphilium_angustum_ATCC_35903	Acidiphilium angustum ATCC 35903	Acidiphilium	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
2683	Bilophila_wadsworthia_ATCC_49260	Bilophila wadsworthia ATCC 49260	Bilophila	Proteobacteria	Bacteria	Deltaproteobacteria	1	1	1	0	0	0
2725	Sphingomonas_astaxanthinifaciens_DSM_22298	Sphingomonas astaxanthinifaciens DSM 22298	Sphingomonas	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
2729	Andreprevotia_chitinilytica_DSM_18519	Andreprevotia chitinilytica DSM 18519	Andreprevotia	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	0	0	0
2745	Erythrobacter_longus	Erythrobacter longus	Erythrobacter	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
2840	Planktomarina_temperata_RCA23	Planktomarina temperata RCA23	Planktomarina	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	1	0
2844	Comamonas_testosteroni_TK102	Comamonas testosteroni TK102	Comamonas	Proteobacteria	Bacteria	Betaproteobacteria	1	2	1	1	0	1
2851	Paraburkholderia_kururiensis_subsp_thiooxydans_NBRC_107107	Paraburkholderia kururiensis subsp. thiooxydans NBRC 107107	Paraburkholderia	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	1	0	1
2910	Belnapia_moabensis_DSM_16746	Belnapia moabensis DSM 16746	Belnapia	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
2966	Halomonas_xinjiangensis	Halomonas xinjiangensis	Halomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
2967	Pseudomonas_lutea	Pseudomonas lutea	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
2975	Pseudomonas_rhizosphaerae	Pseudomonas rhizosphaerae	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
3037	Paraburkholderia_sacchari	Paraburkholderia sacchari	Paraburkholderia	Proteobacteria	Bacteria	Betaproteobacteria	1	2	1	1	0	1
3054	Pseudomonas_putida	Pseudomonas putida	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
3065	Tepidimonas_taiwanensis	Tepidimonas taiwanensis	Tepidimonas	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	1	0	1
3070	Novosphingobium_subterraneum	Novosphingobium subterraneum	Novosphingobium	Proteobacteria	Bacteria	Alphaproteobacteria	3	2	1	1	0	1
3091	Azotobacter_chroococcum_NCIMB_8003	Azotobacter chroococcum NCIMB 8003	Azotobacter	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
3102	Geoalkalibacter_ferrihydriticus_DSM_17813	Geoalkalibacter ferrihydriticus DSM 17813	Geoalkalibacter	Proteobacteria	Bacteria	Deltaproteobacteria	0	1	0	1	0	1
3115	Pseudomonas_massiliensis	Pseudomonas massiliensis	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
